"Index","Open","High","Low","Close","Volume"
2015-08-05 08:03:00,211.08,211.08,210.98,211,998
2015-08-05 08:04:00,211.01,211.05,211,211,1936
2015-08-05 08:05:00,211,211.09,210.99,211.04,1371
2015-08-05 08:06:00,211.04,211.05,210.99,211,810
2015-08-05 08:07:00,211.01,211.02,210.93,210.97,1923
2015-08-05 08:08:00,210.97,211,210.95,210.95,721
2015-08-05 08:09:00,210.95,211.01,210.93,210.98,1430
2015-08-05 08:10:00,210.97,211,210.96,210.97,1427
2015-08-05 08:11:00,210.97,210.99,210.94,210.98,968
2015-08-05 08:12:00,210.98,211.01,210.95,210.97,807
2015-08-05 08:13:00,210.97,211.02,210.95,210.99,1186
2015-08-05 08:14:00,211,211.05,210.97,211.04,1002
2015-08-05 08:15:00,211.04,211.08,211.02,211.05,912
2015-08-05 08:16:00,211.05,211.06,211,211.03,1280
2015-08-05 08:17:00,211.04,211.08,211.02,211.08,1227
2015-08-05 08:18:00,211.07,211.11,211.07,211.09,1806
2015-08-05 08:19:00,211.08,211.1,211.04,211.06,747
2015-08-05 08:20:00,211.05,211.09,211.03,211.08,704
2015-08-05 08:21:00,211.08,211.1,211.04,211.06,917
2015-08-05 08:22:00,211.06,211.14,211.06,211.11,1544
2015-08-05 08:23:00,211.11,211.17,211.1,211.16,1686
2015-08-05 08:24:00,211.16,211.17,211.12,211.16,815
2015-08-05 08:25:00,211.16,211.16,211.13,211.14,1061
2015-08-05 08:26:00,211.14,211.15,211.12,211.12,932
2015-08-05 08:27:00,211.13,211.13,211.06,211.08,1937
2015-08-05 08:28:00,211.07,211.1,211.04,211.06,1133
2015-08-05 08:29:00,211.06,211.12,211.05,211.11,642
2015-08-05 08:30:00,211.11,211.17,211.07,211.11,1457
2015-08-05 08:31:00,211.11,211.12,211.07,211.12,534
2015-08-05 08:32:00,211.12,211.16,211.09,211.09,636
2015-08-05 08:33:00,211.09,211.12,211.07,211.1,1064
2015-08-05 08:34:00,211.11,211.11,211.07,211.07,593
2015-08-05 08:35:00,211.07,211.09,211.06,211.08,557
2015-08-05 08:36:00,211.08,211.09,211.03,211.03,553
2015-08-05 08:37:00,211.03,211.04,210.95,210.97,3341
2015-08-05 08:38:00,210.98,210.98,210.96,210.96,608
2015-08-05 08:39:00,210.96,210.96,210.93,210.94,653
2015-08-05 08:40:00,210.94,210.97,210.93,210.96,1056
2015-08-05 08:41:00,210.96,210.98,210.93,210.94,810
2015-08-05 08:42:00,210.95,210.95,210.9,210.92,1091
2015-08-05 08:43:00,210.91,210.92,210.86,210.87,2478
2015-08-05 08:44:00,210.88,210.95,210.87,210.88,1016
2015-08-05 08:45:00,210.89,210.93,210.88,210.9,643
2015-08-05 08:46:00,210.9,210.91,210.86,210.87,933
2015-08-05 08:47:00,210.88,210.9,210.84,210.89,787
2015-08-05 08:48:00,210.89,210.91,210.86,210.87,876
2015-08-05 08:49:00,210.88,210.9,210.86,210.88,775
2015-08-05 08:50:00,210.87,210.89,210.86,210.89,642
2015-08-05 08:51:00,210.88,210.89,210.82,210.86,1307
2015-08-05 08:52:00,210.86,210.87,210.83,210.85,720
2015-08-05 08:53:00,210.86,210.86,210.77,210.78,2284
2015-08-05 08:54:00,210.78,210.78,210.7,210.7,2611
2015-08-05 08:55:00,210.7,210.71,210.65,210.69,2021
2015-08-05 08:56:00,210.68,210.73,210.6,210.61,3848
2015-08-05 08:57:00,210.61,210.7,210.6,210.66,2213
2015-08-05 08:58:00,210.66,210.68,210.48,210.49,6497
2015-08-05 08:59:00,210.49,210.55,210.48,210.53,2256
2015-08-05 09:00:00,210.52,210.53,210.49,210.5,3059
2015-08-05 09:01:00,210.5,210.51,210.41,210.45,7305
2015-08-05 09:02:00,210.45,210.49,210.44,210.47,1640
2015-08-05 09:03:00,210.47,210.48,210.41,210.42,1969
2015-08-05 09:04:00,210.42,210.51,210.41,210.51,1674
2015-08-05 09:05:00,210.51,210.53,210.48,210.5,1230
2015-08-05 09:06:00,210.5,210.54,210.49,210.54,1146
2015-08-05 09:07:00,210.54,210.57,210.5,210.56,3228
2015-08-05 09:08:00,210.56,210.56,210.54,210.55,415
2015-08-05 09:09:00,210.56,210.56,210.51,210.51,926
2015-08-05 09:10:00,210.51,210.53,210.47,210.53,885
2015-08-05 09:11:00,210.52,210.56,210.51,210.55,399
2015-08-05 09:12:00,210.55,210.56,210.53,210.55,1576
2015-08-05 09:13:00,210.55,210.58,210.52,210.53,797
2015-08-05 09:14:00,210.52,210.56,210.51,210.54,547
2015-08-05 09:15:00,210.54,210.54,210.4,210.41,3601
2015-08-05 09:16:00,210.4,210.43,210.37,210.39,2250
2015-08-05 09:17:00,210.39,210.43,210.39,210.4,709
2015-08-05 09:18:00,210.4,210.4,210.3,210.34,3490
2015-08-05 09:19:00,210.34,210.34,210.28,210.29,1213
2015-08-05 09:20:00,210.29,210.32,210.25,210.3,2224
2015-08-05 09:21:00,210.29,210.33,210.27,210.3,888
2015-08-05 09:22:00,210.31,210.35,210.29,210.31,1299
2015-08-05 09:23:00,210.31,210.37,210.3,210.36,1506
2015-08-05 09:24:00,210.36,210.36,210.2,210.2,1554
2015-08-05 09:25:00,210.2,210.2,210.14,210.18,2636
2015-08-05 09:26:00,210.19,210.21,210.15,210.19,732
2015-08-05 09:27:00,210.18,210.23,210.15,210.19,2504
2015-08-05 09:28:00,210.19,210.22,210.18,210.21,580
2015-08-05 09:29:00,210.21,210.25,210.19,210.21,1442
2015-08-05 09:30:00,210.21,210.22,210.15,210.18,466
2015-08-05 09:31:00,210.17,210.2,210.11,210.14,2273
2015-08-05 09:32:00,210.15,210.15,210.09,210.09,1835
2015-08-05 09:33:00,210.09,210.12,210.06,210.07,1403
2015-08-05 09:34:00,210.06,210.09,209.99,210.09,2912
2015-08-05 09:35:00,210.09,210.11,210.05,210.1,2315
2015-08-05 09:36:00,210.1,210.12,210.07,210.09,1692
2015-08-05 09:37:00,210.09,210.18,210.09,210.14,5021
2015-08-05 09:38:00,210.14,210.14,210.1,210.13,1004
2015-08-05 09:39:00,210.12,210.13,210.06,210.09,817
2015-08-05 09:40:00,210.09,210.11,210.06,210.1,763
2015-08-05 09:41:00,210.1,210.11,209.9,209.96,6412
2015-08-05 09:42:00,209.96,210,209.95,209.99,2060
2015-08-05 09:43:00,209.99,210.03,209.95,210.02,3317
2015-08-05 09:44:00,210.02,210.09,210.01,210.09,1430
2015-08-05 09:45:00,210.08,210.09,210.03,210.05,1005
2015-08-05 09:46:00,210.05,210.06,210.01,210.03,367
2015-08-05 09:47:00,210.03,210.06,210.02,210.05,553
2015-08-05 09:48:00,210.04,210.17,210.04,210.16,1940
2015-08-05 09:49:00,210.16,210.17,210.13,210.15,1546
2015-08-05 09:50:00,210.15,210.18,210.09,210.09,1645
2015-08-05 09:51:00,210.09,210.11,210.05,210.08,1190
2015-08-05 09:52:00,210.08,210.08,210.03,210.03,2101
2015-08-05 09:53:00,210.03,210.04,210,210.02,926
2015-08-05 09:54:00,210.03,210.05,210,210.05,752
2015-08-05 09:55:00,210.05,210.15,210.05,210.15,683
2015-08-05 09:56:00,210.15,210.34,210.12,210.31,4440
2015-08-05 09:57:00,210.32,210.34,210.26,210.27,1831
2015-08-05 09:58:00,210.27,210.31,210.24,210.25,1975
2015-08-05 09:59:00,210.25,210.34,210.23,210.33,2052
2015-08-05 10:00:00,210.34,210.35,210.26,210.27,1351
2015-08-05 10:01:00,210.28,210.28,210.23,210.25,474
2015-08-05 10:02:00,210.25,210.26,210.22,210.25,1036
2015-08-05 10:03:00,210.25,210.27,210.23,210.25,329
2015-08-05 10:04:00,210.25,210.25,210.16,210.2,721
2015-08-05 10:05:00,210.19,210.26,210.15,210.26,656
2015-08-05 10:06:00,210.25,210.26,210.22,210.23,722
2015-08-05 10:07:00,210.23,210.26,210.2,210.23,392
2015-08-05 10:08:00,210.23,210.26,210.22,210.22,372
2015-08-05 10:09:00,210.23,210.25,210.2,210.21,1099
2015-08-05 10:10:00,210.2,210.24,210.15,210.16,797
2015-08-05 10:11:00,210.16,210.19,209.99,210.02,3151
2015-08-05 10:12:00,210.02,210.04,209.97,210,1984
2015-08-05 10:13:00,210,210.01,209.97,209.99,672
2015-08-05 10:14:00,209.98,209.99,209.94,209.97,863
2015-08-05 10:15:00,209.97,210.01,209.92,209.98,1150
2015-08-05 10:16:00,209.98,209.98,209.8,209.81,3080
2015-08-05 10:17:00,209.81,209.91,209.73,209.88,4576
2015-08-05 10:18:00,209.88,209.9,209.8,209.81,1191
2015-08-05 10:19:00,209.82,209.88,209.8,209.83,1018
2015-08-05 10:20:00,209.82,209.86,209.78,209.82,1415
2015-08-05 10:21:00,209.81,209.84,209.79,209.83,489
2015-08-05 10:22:00,209.83,209.9,209.8,209.9,849
2015-08-05 10:23:00,209.9,209.96,209.89,209.93,3251
2015-08-05 10:24:00,209.93,209.96,209.91,209.93,571
2015-08-05 10:25:00,209.94,209.95,209.91,209.92,223
2015-08-05 10:26:00,209.92,209.93,209.84,209.88,1897
2015-08-05 10:27:00,209.87,209.88,209.82,209.86,549
2015-08-05 10:28:00,209.86,209.95,209.85,209.94,393
2015-08-05 10:29:00,209.93,210,209.91,209.99,557
2015-08-05 10:30:00,209.98,210,209.87,209.88,1736
2015-08-05 10:31:00,209.87,209.94,209.87,209.9,812
2015-08-05 10:32:00,209.9,209.93,209.9,209.92,404
2015-08-05 10:33:00,209.93,209.93,209.87,209.91,860
2015-08-05 10:34:00,209.91,209.92,209.86,209.88,1241
2015-08-05 10:35:00,209.89,209.96,209.88,209.94,810
2015-08-05 10:36:00,209.95,209.95,209.88,209.93,439
2015-08-05 10:37:00,209.93,210,209.91,209.98,804
2015-08-05 10:38:00,209.98,209.99,209.93,209.93,892
2015-08-05 10:39:00,209.94,209.99,209.94,209.98,529
2015-08-05 10:40:00,209.97,210.07,209.96,210.05,1420
2015-08-05 10:41:00,210.05,210.07,210.02,210.02,472
2015-08-05 10:42:00,210.01,210.03,209.98,210.03,1103
2015-08-05 10:43:00,210.03,210.09,210.01,210.06,956
2015-08-05 10:44:00,210.07,210.12,210.06,210.09,2353
2015-08-05 10:45:00,210.09,210.12,210.07,210.09,1207
2015-08-05 10:46:00,210.09,210.1,210.02,210.03,733
2015-08-05 10:47:00,210.03,210.06,210.03,210.05,652
2015-08-05 10:48:00,210.05,210.07,210.01,210.03,634
2015-08-05 10:49:00,210.03,210.04,209.97,209.99,740
2015-08-05 10:50:00,210,210,209.94,209.95,2041
2015-08-05 10:51:00,209.95,209.97,209.84,209.88,1584
2015-08-05 10:52:00,209.87,209.89,209.79,209.79,1842
2015-08-05 10:53:00,209.78,209.85,209.78,209.82,750
2015-08-05 10:54:00,209.82,209.83,209.78,209.81,396
2015-08-05 10:55:00,209.82,209.93,209.81,209.91,1163
2015-08-05 10:56:00,209.91,209.96,209.89,209.95,475
2015-08-05 10:57:00,209.94,209.99,209.92,209.98,574
2015-08-05 10:58:00,209.98,210.04,209.96,210.01,3588
